f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (?),#NAME?,Output Rs.R (?),Output Rct.R (?),Output C.C (F)
100000,205938.3924,89.23871379,4967,66683000000,8.07E-12
68129,303011.2648,89.15496008,,,
46416,444218.9146,89.15912935,,,
31623,650330.1193,89.1534316,,,
21544,952953.4656,89.19276525,,,
14678,1389907.89,89.13315993,,,
10000,2038384.564,89.14715087,,,
6812.9,2975986.412,89.15658746,,,
4641.6,4359097.2,89.20292352,,,
3162.3,6382996.332,89.19699298,,,
2154.4,9328995.498,89.22898128,,,
1467.8,13653867.22,88.95918032,,,
1000,19965256.51,88.84222786,,,
681.29,29151504.63,88.75648341,,,
464.16,42652958.2,88.65788751,,,
316.23,62220278.21,88.66226477,,,
215.44,90609352.19,88.34923214,,,
146.78,131979287.3,88.21287867,,,
100,194070480.6,87.79836217,,,
68.129,279759552.7,88.19220502,,,
46.416,406406799.7,87.88394997,,,
31.623,600293006.4,87.5635795,,,
21.544,868030885,87.63370614,,,
14.678,1251006375,88.10234806,,,
10,1825940465,91.38924177,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,117389.642863428,87.6727933604332,6310,13560000000,1.4335E-11
68129,172202.968425968,88.0258899104477,,,
46416,252032.662382616,88.3383433510244,,,
31623,368203.276285089,88.591806497726,,,
21544,538871.94209879,88.6589310023161,,,
14678,786859.765067352,88.7225067421434,,,
10000,1151254.79549403,88.7624283542133,,,
6812.9,1682846.44083551,88.7948826042438,,,
4641.6,2460593.90800406,88.8184226527911,,,
3162.3,3592622.39317514,88.8007734600331,,,
2154.4,5249897.46405794,88.7683818084391,,,
1467.8,7659848.57344419,88.673072944805,,,
1000,11178418.5220289,88.6753211663952,,,
681.29,16322948.6477576,88.6618129627905,,,
464.16,23807406.6923734,88.5331874818135,,,
316.23,34796934.4212138,88.5885219536464,,,
215.44,50671101.3558626,88.5017875987335,,,
146.78,73915084.4791368,88.2049642009363,,,
100,108220713.589794,88.1207817302915,,,
68.129,156798431.218485,88.1152496295088,,,
46.416,229016130.741104,87.9459047917388,,,
31.623,335299239.480384,88.2566809001854,,,
21.544,486621986.444339,87.7740727938949,,,
14.678,703593579.940083,87.681133662909,,,
10,1044850804.26619,86.1573518374715,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,126369.295704907,86.5697658110228,9542.3,13658000000,1.3391E-11
68129,184896.863812571,87.1750276864135,,,
46416,270087.725977638,87.6250833223579,,,
31623,393818.158189884,87.9862803519988,,,
21544,574440.709303506,88.2588305973613,,,
14678,837411.967480576,88.3860370680745,,,
10000,1224969.18204263,88.5677511264751,,,
6812.9,1789515.96360885,88.7348725349935,,,
4641.6,2616133.21025917,88.8535148380415,,,
3162.3,3823330.31846189,88.9317982992288,,,
2154.4,5594699.58857965,89.0419413146606,,,
1467.8,8171446.27762093,88.9212097162421,,,
1000,11957318.1931444,88.915710749778,,,
681.29,17491243.3662519,88.9770619672747,,,
464.16,25569419.0447844,88.9034935693879,,,
316.23,37451223.4858428,88.8508751312108,,,
215.44,54745660.2413123,88.7740245979566,,,
146.78,79859376.5454488,88.4225299390263,,,
100,116286491.957565,88.1557223945594,,,
68.129,169968742.075686,88.1993628237669,,,
46.416,246655964.926453,87.9120932494613,,,
31.623,359101078.759914,87.7635627446786,,,
21.544,516249138.469332,87.3032286075055,,,
14.678,751592378.95112,87.93205627938,,,
10,1112497472.58121,85.8122086435998,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,551376.544844008,89.2834784919201,32618,6484400000,3.8639E-12
68129,809345.026183965,88.3035176092761,,,
46416,1175998.4564833,87.819630490916,,,
31623,1705932.216862,87.5103747484884,,,
21544,2468812.10038723,87.0664012179432,,,
14678,3589709.60016702,86.9921828153563,,,
10000,5234238.60044667,86.8096954964615,,,
6812.9,7612444.00170582,86.2052630201796,,,
4641.6,11007365.0115265,85.64787717158,,,
3162.3,15891572.7161783,84.4557039728788,,,
2154.4,22700893.2635807,83.2383405311964,,,
1467.8,32236235.530385,82.0370566840905,,,
1000,45291717.5852212,81.2065749296919,,,
681.29,63481537.0466475,80.9238846145708,,,
464.16,89108558.2326651,81.3324853571663,,,
316.23,126708789.591724,81.9356741682602,,,
215.44,180671417.18915,82.4152452347627,,,
146.78,256012158.789253,81.8398637234396,,,
100,367880948.010997,81.7659264090491,,,
68.129,528775246.714466,80.4550512904239,,,
46.416,740307120.254334,79.1007359275575,,,
31.623,1041205218.70648,77.6408733454456,,,
21.544,1426774072.85355,74.59953747683,,,
