Z0_m_dry,Z0_m_wet,Z0_s_wet
21300000.0,14500000.0,9770000.0
39100000.0,18400000.0,10500000.0
44400000.0,38300000.0,22200000.0
43600000.0,36500000.0,24900000.0
34200000.0,29400000.0,17100000.0
38500000.0,33700000.0,33600000.0
23000000.0,14000000.0,10700000.0
46400000.0,15100000.0,9770000.0
29920963.39,14239.82154,3576781.796
27248779.8,12895856.41,10778189.95
33024208.61,20244459.85,18956538.0
28329936.85,15121826.29,12132976.13
55537952.63,53658195.5863523,54494717.22
47597364.53,17541979.7514765,20216212.77
25082044.54,14536986.3150103,10480055.61
49021719.34,17742754.2881829,12055773.08
46381815.95,12102.31814,3374151.315
52982372.98,13717228.0767231,12261630.06
21657492.04,13135352.4521295,11300688.73
66981338.18,16502074.1659937,14352833.31
49835079.46,33781169.89,32016566.06
22677152.72,12420352.5,10400885.37
21374381.22,11797046.36,10104177.58
33739213.57,12826945.95,10329163.57
22129386.1,12130440.8685884,10523358.32
21660654.93,11581770.86,9479319.641
19965256.51,11178418.5220289,9240854.485
28224947.12,9785116.49054637,28224947.12
