14-2-16 shunt,,,,,,,,,
Day,Frequency (Hz),Z (Ω), -Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F),Time (s),-Z'' (Ω),Z' (Ω)
Day-0,100000,1.11E+05,86.289,9.11,31.5,15.3,,,
26-May,68129,1.63E+05,86.968,,,,,,
16:00,46416,2.38E+05,87.5036,,,,,,
,31623,3.48E+05,87.8359,,,,,,
,21544,5.07E+05,88.1477,,,,,,
,14678,7.40E+05,88.2508,,,,,,
,10000,1.08E+06,88.3492,,,,,,
,6812.9,1.58E+06,88.4652,,,,,,
,4641.6,2.30E+06,88.5535,,,,,,
,3162.3,3.36E+06,88.6235,,,,,,
,2154.4,4.91E+06,88.5975,,,,,,
,1467.8,7.17E+06,88.5189,,,,,,
,1000,1.05E+07,88.5091,,,,,,
,681.29,1.52E+07,88.4553,,,,,,
,464.16,2.22E+07,88.545,,,,,,
,316.23,3.24E+07,88.5788,,,,,,
,215.44,4.73E+07,88.7181,,,,,,
,146.78,6.89E+07,88.5887,,,,,,
,100,1.00E+08,88.6249,,,,,,
,68.129,1.47E+08,88.8001,,,,,,
,46.416,2.15E+08,88.7095,,,,,,
,31.623,3.13E+08,88.7596,,,,,,
,21.544,4.59E+08,89.09,,,,,,
,14.678,6.76E+08,88.7263,,,,,,
,10,9.63E+08,89.226,,,,,,
Day-1,100000,208232,88.948,6.32,14.4,8.15,,,
27-May,68129,306222,88.9532,,,,,,
12:00,46416,448862,89.0452,,,,,,
,31623,655877,88.9465,,,,,,
,21544,959753,89.1541,,,,,,
,14678,1.40E+06,88.9614,,,,,,
,10000,2.06E+06,88.9328,,,,,,
,6812.9,3.00E+06,88.9284,,,,,,
,4641.6,4.39E+06,88.9536,,,,,,
,3162.3,6.43E+06,88.8056,,,,,,
,2154.4,9.39E+06,88.7595,,,,,,
,1467.8,1.37E+07,88.5644,,,,,,
,1000,2.00E+07,88.4664,,,,,,
,681.29,2.92E+07,88.1999,,,,,,
,464.16,4.27E+07,88.0289,,,,,,
,316.23,6.22E+07,87.7504,,,,,,
,215.44,9.00E+07,87.8804,,,,,,
,146.78,1.31E+08,87.3801,,,,,,
,100,1.90E+08,87.3672,,,,,,
,68.129,2.75E+08,86.639,,,,,,
,46.416,4.01E+08,86.8588,,,,,,
,31.623,5.78E+08,87.5649,,,,,,
,21.544,8.38E+08,85.6614,,,,,,
,14.678,1.18E+09,85.548,,,,,,
,10,1.68E+09,84.9872,,,,,,
Day-2,100000,130946,85.8586,13.1,14.6,13.5,,,
28-May,68129,190974,86.394,,,,,,
17,46416,277884,86.8155,,,,,,
,31623,403968,87.0043,,,,,,
,21544,587086,87.2552,,,,,,
,14678,852375,87.3163,,,,,,
,10000,1.24E+06,87.4343,,,,,,
,6812.9,1.80E+06,87.5516,,,,,,
,4641.6,2.62E+06,87.683,,,,,,
,3162.3,3.81E+06,87.8306,,,,,,
,2154.4,5.54E+06,87.9724,,,,,,
,1467.8,8.06E+06,88.0664,,,,,,
,1000,1.17E+07,88.1733,,,,,,
,681.29,1.71E+07,88.2753,,,,,,
,464.16,2.50E+07,88.3379,,,,,,
,316.23,3.64E+07,88.5259,,,,,,
,215.44,5.32E+07,88.3154,,,,,,
,146.78,7.76E+07,88.1989,,,,,,
,100,1.13E+08,88.0957,,,,,,
,68.129,1.65E+08,88.3643,,,,,,
,46.416,2.39E+08,87.7299,,,,,,
,31.623,3.46E+08,87.9777,,,,,,
,21.544,5.15E+08,87.2723,,,,,,
,14.678,7.55E+08,87.3096,,,,,,
,10,1.07E+09,87.0359,,,,,,
Day-3,100000,127049,84.4885,16.7,11.3,14.2,,,
29-May,68129,183983,85.0296,,,,,,
13:00,46416,265570,85.544,,,,,,
,31623,383176,85.9686,,,,,,
,21544,554325,86.5035,,,,,,
,14678,802402,86.8968,,,,,,
,10000,1.17E+06,87.3469,,,,,,
,6812.9,1.70E+06,87.7544,,,,,,
,4641.6,2.47E+06,88.0686,,,,,,
,3162.3,3.61E+06,88.3259,,,,,,
,2154.4,5.28E+06,88.3953,,,,,,
,1467.8,7.70E+06,88.4243,,,,,,
,1000,1.12E+07,88.4991,,,,,,
,681.29,1.64E+07,88.5257,,,,,,
,464.16,2.40E+07,88.5247,,,,,,
,316.23,3.50E+07,88.4533,,,,,,
,215.44,5.10E+07,88.4286,,,,,,
,146.78,7.44E+07,88.0014,,,,,,
,100,1.08E+08,87.9635,,,,,,
,68.129,1.58E+08,87.6593,,,,,,
,46.416,2.30E+08,87.4712,,,,,,
,31.623,3.34E+08,87.0185,,,,,,
,21.544,4.78E+08,87.3773,,,,,,
,14.678,7.03E+08,86.2061,,,,,,
,10,1.01E+09,86.4913,,,,,,
Day-5,100000,122538,84.0432,17.2,5.45,15.2,,,
31-May,68129,177379,84.8198,,,,,,
