f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,1458381.162,93.34508684,-65089,1.1E+12,1.11E-12
68129,2179359.605,91.69730181,,,
46416,3207888.801,90.84620566,,,
31623,4707713.394,90.41848636,,,
21544,7009597.74,89.62060047,,,
14678,10149970.47,89.85935194,,,
10000,14970291.7,89.32855566,,,
6812.9,21875361.89,89.50318738,,,
4641.6,31920609.86,89.45240311,,,
3162.3,46642279.74,89.45446661,,,
2154.4,68952079.4,88.99333628,,,
1467.8,99589299.9,89.45360869,,,
1000,146222428,89.46212919,,,
681.29,215456602.6,89.14157447,,,
464.16,314337244.8,88.30681606,,,
316.23,447753460.6,89.34448318,,,
215.44,652777271.9,89.23138504,,,
146.78,955383275.7,88.03539021,,,
100,1356573307,87.59170876,,,
68.129,1999011276,85.85237468,,,
46.416,2897103427,86.94379787,,,
31.623,4544024779,88.73055737,,,
21.544,5709107356,90.88223067,,,
14.678,10329690337,93.69655725,,,
10,12841882563,94.75405129,,,
