f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,1150.851456,46.15357326,981.16,-1.1E+12,5.75E-09
68129,1436.631367,52.63716677,,,
46416,1846.313981,58.26428354,,,
31623,2390.847404,62.94752542,,,
21544,3218.207081,66.67882025,,,
14678,4209.523603,68.55653528,,,
10000,5817.576132,71.02886392,,,
6812.9,7985.638757,72.5582198,,,
4641.6,11031.97166,73.70475473,,,
3162.3,15334.05618,74.54712878,,,
2154.4,21480.21012,75.13294122,,,
1467.8,29688.38668,75.31569361,,,
1000,41045.72794,75.3675769,,,
681.29,56861.78019,75.3038228,,,
464.16,78618.62927,75.04635225,,,
316.23,108337.6392,74.7588356,,,
215.44,148740.883,74.35965876,,,
146.78,204221.9685,73.99007145,,,
100,280386.3521,73.59183684,,,
68.129,383631.7668,73.07293085,,,
46.416,526157.1202,72.10217185,,,
31.623,708288.0088,70.9766476,,,
21.544,960703.4974,69.11445292,,,
14.678,1271952.616,67.57499907,,,
10,1732341.748,66.47016977,,,
