f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,2568426.766,96.47372534,-253830,1.1E+12,9.00E-13
68129,3954825.869,93.44901528,,,
46416,5864554.305,92.23786204,,,
31623,8725933.203,91.62222555,,,
21544,12504977.55,90.740138,,,
14678,18455812.83,90.19039213,,,
10000,27422961.19,89.67523465,,,
6812.9,39319958.83,89.14922685,,,
4641.6,57610679.62,89.12514662,,,
3162.3,86643775.8,88.09277675,,,
2154.4,123102005.9,87.91910109,,,
1467.8,180568872.8,89.89837403,,,
1000,266283821.7,89.27414904,,,
681.29,392398963.2,89.59465267,,,
464.16,564555451.9,88.99371954,,,
316.23,843749592.7,88.33855063,,,
215.44,1241321316,88.6785985,,,
146.78,1737144978,86.45190053,,,
100,2485648830,82.77816307,,,
68.129,3642022091,89.25490182,,,
46.416,5136410734,89.70816092,,,
31.623,8760021137,80.90026966,,,
21.544,10209287288,92.53212665,,,
14.678,16238976982,71.27118729,,,
10,25764381414,116.070279,,,
