f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,580.6362858,31.72380886,31822,-31217,9.00E-13
68129,668.8095246,37.36644409,,,
46416,789.0633727,42.82513745,,,
31623,958.0517555,48.24403003,,,
21544,1194.435944,53.32479578,,,
14678,1534.498968,58.14391036,,,
10000,2009.713448,62.41334779,,,
6812.9,2625.421851,65.37520612,,,
4641.6,3520.437728,68.14002185,,,
3162.3,4753.233777,70.3034834,,,
2154.4,6445.621553,71.98050889,,,
1467.8,8815.649483,73.33416598,,,
1000,12184.34198,74.40057329,,,
681.29,16734.98326,75.13754703,,,
464.16,23096.4336,75.61151534,,,
316.23,32005.16833,75.81319143,,,
215.44,44303.40628,75.75926112,,,
146.78,61350.59253,75.45165805,,,
100,84485.94383,74.89859513,,,
68.129,115903.9019,74.10711495,,,
46.416,158468.5844,72.98054161,,,
31.623,217129.0233,71.57164249,,,
21.544,294986.7225,69.83521278,,,
14.678,396899.9869,67.73067345,,,
10,529570.705,65.28814498,,,
