Group 1,Count,,,,,,,Group 2,Count,,,,,"Group 1 - Failure (14 failed, 2 continuing)",,,,,,,"Group 2 - Failure (19 failed, 21 continuing)",,,,,
Total Good IDEs,16,,,,,,,Total Good IDEs,40,,,,,Geometry,# IDEs,Mean,m - Failed Real Days,,,,Geometry,# IDEs,Mean,m - Failed Real Days,,
Good 2m,2,,,,,,,Good 2m,5,,,,,2,2,306,357,255,,,2,5,44.66666667,41,82,11
Good 2s,2,,,,,,,Good 2s,5,,,,,4,1,245,245,,,,4,5,38,21,82,11
Good 4m,1,,,,,,,Good 4m,5,,,,,8,2,301,245,357,,,8,5,31,41,21,
Good 4s,1,,,,,,,Good 4s,5,,,,,16,3,199.5,82,317,,,16,5,66.5,41,92,
Good 8m,2,,,,,,,Good 8m,5,,,,,,,,,,,,,,,,,
Good 8s,2,,,,,,,Good 8s,5,,,,,IDE,,Mean,s - Failed Real Days,,,,IDE,,Mean,s - Failed Real Days,,
Good 16m,3,,,,,,,Good 16m,5,,,,,2,,306,357,255,,,2,,61.66666667,92,82,11
Good 16s,3,,,,,,,Good 16s,5,,,,,4,,245,245,,,,4,,38,21,82,11
,,,,,,,,,,,,,,8,,301,245,357,,,8,,31,41,21,
Device,IDE,Status,Start to Fail,Start to Fail (Regular),Fully Failed,Fully Failed (Regular),,Device,IDE,Status,Failed Day,Failed Real Day,,16,,199.5,82,317,,,16,,92,82,,
Device 12,2-m,,,,,,,Device 22,2-m,good,5,41,,,,,,,,,,,,,,
,2-s,,,,,,,,2-s,good,10,92,,,,,,,,,,,,,,
,4-m,,,,,,,,4-m,good,3,21,,,,,,,,,,,,,,
,4-s,,,,,,,,4-s,good,3,21,,,,,,,,,,,,,,
,8-m,good,22,215,,,,,8-m,good,5,41,,,,,,,,,,,,,,
,8-s,good,22,215,,,,,8-s,good,5,41,,,,,,,,,,,,,,
,16-m,,,,,,,,16-m,good,continuing,continuing,,,,,,,,,,,,,,
,16-s,,,,,,,,16-s,good,continuing,continuing,,,,,,,,,,,,,,
Device 14,2-m,,,,,,,Device 26,2-m,good,continuing,continuing,,,,,,,,,,,,,,
,2-s,,,,,,,,2-s,good,continuing,continuing,,,,,,,,,,,,,,
,4-m,,,,,,,,4-m,good,continuing,continuing,,,,,,,,,,,,,,
,4-s,,,,,,,,4-s,good,continuing,continuing,,,,,,,,,,,,,,
,8-m,,,,,,,,8-m,good,continuing,continuing,,,,,,,,,,,,,,
,8-s,,,,,,,,8-s,good,continuing,continuing,,,,,,,,,,,,,,
,16-m,good,9,82,,,,,16-m,good,continuing,continuing,,,,,,,,,,,,,,
,16-s,good,9,82,,,,,16-s,good,continuing,continuing,,,,,,,,,,,,,,
Device 16,2-m,good,44,439,,,,Device 27,2-m,good,continuing,continuing,,,,,,,,,,,,,,
,2-s,good,30,439,,,,,2-s,good,continuing,continuing,,,,,,,,,,,,,,
,4-m,good,25,245,,,,,4-m,good,continuing,continuing,,,,,,,,,,,,,,
,4-s,good,25,245,,,,,4-s,good,continuing,continuing,,,,,,,,,,,,,,
,8-m,good,36,357,,,,,8-m,good,continuing,continuing,,,,,,,,,,,,,,
,8-s,good,36,357,,,,,8-s,good,continuing,continuing,,,,,,,,,,,,,,
,16-m,good,continuing,continuing,,,,,16-m,good,5,41,,,,,,,,,,,,,,
,16-s,good,continuing,continuing,,,,,16-s,good,continuing,continuing,,,,,,,,,,,,,,
Device 20,2-m,good,26,255,,,,Device 28,2-m,good,9,82,,,,,,,,,,,,,,
,2-s,good,26,255,,,,,2-s,good,9,82,,,,,,,,,,,,,,
,4-m,,,,,,,,4-m,good,9,82,,,,,,,,,,,,,,
,4-s,,,,,,,,4-s,good,9,82,,,,,,,,,,,,,,
,8-m,,,,,,,,8-m,good,continuing,continuing,,,,,,,,,,,,,,
,8-s,,,,,,,,8-s,good,continuing,continuing,,,,,,,,,,,,,,
,16-m,good,32,317,,,,,16-m,good,10,92,,,,,,,,,,,,,,
,16-s,good,32,317,,,,,16-s,good,9,82,,,,,,,,,,,,,,
,,,,,,,,Device 31,2-m,good,2,11,,,,,,,,,,,,,,
,,,,,,,,,2-s,good,2,11,,,,,,,,,,,,,,
,,,,,,,,,4-m,good,2,11,,,,,,,,,,,,,,
,,,,,,,,,4-s,good,2,11,,,,,,,,,,,,,,
,,,,,,,,,8-m,good,3,21,,,,,,,,,,,,,,
,,,,,,,,,8-s,good,3,21,,,,,,,,,,,,,,
,,,,,,,,,16-m,good,continuing,continuing,,,,,,,,,,,,,,
,,,,,,,,,16-s,good,continuing,continuing,,,,,,,,,,,,,,
